name,size
XLV.BIIB,2249
XLV.BIIB,275878
XLV.BIIB,11110
XLV.BIO,14
XLV.BIO,47400
XLV.BIO,297
XRT.BJ,26999
XRT.BJ,900098
XRT.BJ,113215
XLF.BK,9322
XLF.BK,508535
XLF.BK,24399
XRT.BKE,238
XRT.BKE,77238
XRT.BKE,2205
XLY.BKNG,181
XLY.BKNG,130900
XLY.BKNG,7060
XLE.BKR,981
XLE.BKR,2941043
XLE.BKR,63727
XLF.BLK,1738
XLF.BLK,195327
XLF.BLK,6207
XBI.BLUE,1763
XBI.BLUE,1689835
XBI.BLUE,321723
XBI.BMRN,59
XBI.BMRN,317590
XBI.BMRN,2982
XLV.BMY,5850
XLV.BMY,1768914
XLV.BMY,94032
XRT.BOOT,238
XRT.BOOT,278192
XRT.BOOT,8588
XBI.BPMC,100
XBI.BPMC,154129
XBI.BPMC,1012
XLK.BR,127
XLK.BR,88204
XLK.BR,2417
XLF.BRO,226
XLF.BRO,214505
XLF.BRO,12385
XLV.BSX,107
XLV.BSX,1307272
XLV.BSX,63239
XBI.BTAI,3257
XBI.BTAI,133864
XBI.BTAI,13218
XRT.BURL,2047
XRT.BURL,301363
XRT.BURL,17316
XLY.BWA,7
XLY.BWA,399649
XLY.BWA,16366
XLRE.BXP,1315
XLRE.BXP,221803
XLRE.BXP,6957
XLF.C,15126
XLF.C,3532417
XLF.C,692751
XLP.CAG,1053168
XLP.CAG,74945
XLV.CAH,634
XLV.CAH,834470
XLV.CAH,13546
XRT.CAL,1141
XRT.CAL,110370
XRT.CAL,7221
XLI.CARR,459
XLI.CARR,1354899
XLI.CARR,20795
XRT.CASY,41
XRT.CASY,72503
XRT.CASY,1764
XLI.CAT,4357
XLI.CAT,838419
XLI.CAT,93414
XLF.CB,332
XLF.CB,449865
XLF.CB,12510
XLF.CBOE,2579
XLF.CBOE,444932
XLF.CBOE,19594
XLRE.CBRE,401
XLRE.CBRE,386768
XLRE.CBRE,3253
XBI.CCCC,74117
XBI.CCCC,1019
XLRE.CCI,145
XLRE.CCI,268038
XLRE.CCI,6934
XLY.CCL,64124
XLY.CCL,16111678
XLY.CCL,5835190
XBI.CCXI,270569
XBI.CCXI,12416
XLK.CDAY,214209
XLK.CDAY,888
XBI.CDMO,112216
XBI.CDMO,9858
XBI.CDNA,118650
XBI.CDNA,1046
XLK.CDNS,1149
XLK.CDNS,473655
XLK.CDNS,30879
XLK.CDW,485
XLK.CDW,334928
XLK.CDW,1263
XLB.CE,918
XLB.CE,356299
XLB.CE,25565
XBI.CERE,2305
XBI.CERE,132513
XBI.CERE,1632
XLB.CF,2637
XLB.CF,613108
XLB.CF,45810
XLF.CFG,3703
XLF.CFG,784509
XLF.CFG,79478
XLP.CHD,2398
XLP.CHD,501456
XLP.CHD,11950
XBI.CHRS,600
XBI.CHRS,265769
XBI.CHRS,26887
XLI.CHRW,303
XLI.CHRW,432723
XLI.CHRW,3841
XRT.CHS,4733
XRT.CHS,571049
XRT.CHS,115303
XLC.CHTR,542
XLC.CHTR,432022
XLC.CHTR,9556
XRT.CHWY,2823
XRT.CHWY,1033082
XRT.CHWY,181956
XLV.CI,990
XLV.CI,295205
XLV.CI,11462
XLF.CINF,1879
XLF.CINF,276489
XLF.CINF,20249
XLP.CL,6378
XLP.CL,1764670
XLP.CL,94924
XBI.CLDX,91217
XBI.CLDX,8861
XBI.CLVS,16506
XBI.CLVS,1901596
XBI.CLVS,454122
XLP.CLX,319
XLP.CLX,309165
XLP.CLX,11027
XLF.CMA,70
XLF.CMA,170422
XLF.CMA,12125
XLC.CMCSA,32588
XLC.CMCSA,7191484
XLC.CMCSA,358163
XLF.CME,488
XLF.CME,346784
XLF.CME,15206
XLY.CMG,1133
XLY.CMG,82452
XLY.CMG,6233
XLI.CMI,172
XLI.CMI,224911
XLI.CMI,7148
XBI.CMRX,14716
XBI.CMRX,2365159
XBI.CMRX,653086
XLU.CMS,212
XLU.CMS,392883
XLU.CMS,6981
XLV.CNC,1833
XLV.CNC,580622
XLV.CNC,38512
XLU.CNP,3208
XLU.CNP,478207
XLU.CNP,9721
XLF.COF,548
XLF.COF,569100
XLF.COF,15579
XRT.CONN,59816
XRT.CONN,19692
XLV.COO,104
XLV.COO,106523
XLV.COO,413
XLE.COP,1731
XLE.COP,1296771
XLE.COP,89101
XLP.COST,8844
XLP.COST,518206
XLP.COST,79983
XLP.CPB,1438
XLP.CPB,352859
XLP.CPB,25379
XLI.CPRT,1394
XLI.CPRT,265644
XLI.CPRT,8501
XBI.CPRX,2699
XBI.CPRX,347362
XBI.CPRX,59615
XBI.CRIS,800
XBI.CRIS,1214983
XBI.CRIS,263134
XLV.CRL,141
XLV.CRL,139796
XLV.CRL,2887
XLK.CRM,5558
XLK.CRM,1273948
XLK.CRM,69639
XRT.CRMT,8769
XRT.CRMT,1800
XBI.CRNX,96012
XBI.CRNX,648
XLK.CSCO,5813
XLK.CSCO,3515326
XLK.CSCO,544235
XLI.CSX,660
XLI.CSX,2263163
XLI.CSX,154645
XLI.CTAS,385
XLI.CTAS,64563
XLI.CTAS,2423
XLV.CTLT,778
XLV.CTLT,245447
XLV.CTLT,10694
XBI.CTMX,2890
XBI.CTMX,195630
XBI.CTMX,6096
XLE.CTRA,9566
XLE.CTRA,2472306
XLE.CTRA,228272
XRT.CTRN,50579
XRT.CTRN,296
XLK.CTSH,1275
XLK.CTSH,1334866
XLK.CTSH,95172
XLB.CTVA,4015
XLB.CTVA,592155
XLB.CTVA,13316
XLK.CTXS,192
XLK.CTXS,241103
